line_001|Welcome to Bus Sahayak, your voice-first bus booking assistant.
line_002|Bus Sahayak helps blind and visually impaired users book bus tickets using only their voice.
line_003|No complicated screens, just your voice. Tell us where you want to go.
line_004|Hold the screen to activate voice commands at any time.
line_005|Double tap on any button to select it.
line_006|Triple tap anywhere on the screen to return to the home screen.
line_007|Say a number to choose from a list of options.
line_008|Let us get you started with your first booking.
line_009|You can say search buses to find a ride.
line_010|You can say my tickets to view your bookings.
line_011|Your voice is the only controller you need.
line_012|Every screen has voice guidance to help you navigate.
line_013|Press and hold anywhere on the screen to hear what is on it.
line_014|Swipe right to move to the next element on the screen.
line_015|Swipe left to go back to the previous element.
line_016|Say go home to return to the main screen at any time.
line_017|Say go back to return to the previous screen.
line_018|Say read to hear the current screen options again.
line_019|Say confirm to proceed with your selection.
line_020|Say cancel to stop the current action.
line_021|Bus Sahayak supports both English and Hindi voice commands.
line_022|Your bookings are confirmed by a real person who will call you.
line_023|No online payment required. Pay when the manager calls you.
line_024|This app is designed specifically for accessibility.
line_025|All buttons have clear voice labels and descriptions.
line_026|High contrast colors make the screen easier to see.
line_027|Voice feedback is always available on every screen.
line_028|You can adjust the speech speed in settings.
line_029|Bus Sahayak works on both phones and tablets.
line_030|Thank you for choosing Bus Sahayak. Let us find your bus.
